,symbol,sector,industry,ipo_date,sym_day0_OTC,sym_1day_ret,sym_5day_ret,sym_22day_ret,sym_91day_ret,sym_252day_ret,iwv_day0_OTC,iwv_1day_ret,iwv_5day_ret,iwv_22day_ret,iwv_91day_ret,iwv_252day_ret
0,SFY, , ,2019-04-11,0.0030060809640863884,0.005994074800184546,0.002996939843456614,-0.025474574009195283,0.009233735552837796,-0.005573215474511617,-0.0011739183078953719,0.006522553693280919,-0.07083732814895038,-0.026736320715634254,0.005274266285531626,-0.03893955769993307
1,SPGM, , ,2012-03-05,0.0,-0.029850823777983537,-0.008557064281983662,-0.0011940477886190903,-0.0716172726301545,0.08346631442442365,-0.002093057946199406,-0.016409663381102946,1.2246894301469267,0.03695564549831043,-0.018073977048766898,0.15776938572832755
2,SFYX, , ,2019-04-11,0.002999973297119096,0.006480609984179431,-0.004885318541120287,-0.04147543684178412,-0.020793181435380892,-0.16091182752676114,-0.0011739183078953719,0.006522553693280919,-0.07083732814895038,-0.026736320715634254,0.005274266285531626,-0.03893955769993307
3,GIGE, , ,2019-05-08,-0.0014970401833795943,-0.011294345692574037,-0.03648170731065847,-0.04097945728801622,-0.04947524975093531,-0.048975446621341345,-0.00035336333686430965,-0.002415482900482102,-0.0683738724709958,-0.003358051577217025,0.04377872685730111,-0.013316958141921353
4,TGIF, , ,2020-10-02,0.0009200286865234109,0.00550471099342742,0.0017982302455854526,0.00023259884796145158,0.053215827384688996,-0.048975446621341345,0.009634759190376263,0.01786077602159475,-0.21462390704280065,-0.009746874375920589,0.2121796848406401,-0.013316958141921353
5,SFYF, , ,2019-05-08,0.005165432836603312,-0.005088880021438591,-0.0155166032299211,-0.031831469707287785,-0.008292918285268125,-0.1346720399432273,-0.00035336333686430965,-0.002415482900482102,-0.0683738724709958,-0.003358051577217025,0.04377872685730111,-0.013316958141921353
6,MJ, , ,2015-12-03,0.0027354315907317517,-0.004676361572304111,-0.02377225705184971,-0.045206418494072254,0.13678915505227973,0.05000015331774499,-0.018065956144548534,0.01839831185627272,0.3841461638115726,-0.01907964152912367,0.016105539702020888,0.09397473005273427
7,GUSH, , ,2015-05-29,0.0005050505050503418,-0.02549192542492884,-0.04846021167201131,-0.18046428292092553,-0.594144286461142,-0.799924230105836,-0.005986565774757646,0.0019019140063645246,0.3477956060139329,-0.02068316391624203,-0.060172996509848975,-0.0037051710022432127
8,ARKK, , ,2014-10-31,-0.001958908686478522,0.0,-0.011776138006548753,-0.016192177007973707,0.011580078156678386,-0.023552378021344023,0.0005839147182848947,8.349089600456772e-05,0.43037485632875216,0.022592935403243253,0.032521376658821044,0.043838770467369725
9,JNUG, , ,2013-10-03,-0.0002531645569621155,-0.10534316586055725,-0.24664476430385585,-0.2904534183676648,-0.22638651509456298,-0.7011901881706474,-0.007083837318248354,0.007035363696270558,0.7290463063716808,0.046571717492062126,0.08870964758307731,0.16255063747094134
